Title,Price,MRP Price,Rating,Review Count,Availability,One Review,Date,Discount
"boAt Rockerz 480 w/RGB LEDs, 6 Light Modes, 40mm Drivers, Beast Mode, 60hrs Playback, ENx Tech, BT v5.3, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Black Sabre)","1,799.00",2158.8,3.9 out of 5 stars,172 ratings,In stock,High quality audio output and very premium design. RGB lights looks very cool. Cushion attached to it are very soft and comfortable for ears. Battery life is good.Good affordable option for moderate gamers and song listening.The headphone is built well. It is sturdy and feel durable and not like cheap plastic. The sound is great as well. Voice should very clear and musical. Bass is good as well. Looks very cool while playing in a dark place where only.The headphone is built well. The sound is great as well. Voice should very clear and musical. Bass is good as well. The RGB lighting is a nice touch. Looks very cool while playing in a dark place where only light is from headphones.Read more,28-01-2025 13:27,16.6
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB NVIDIA RTX 4050, 16GB DDR4, 512GB SSD (Win11, Office 21, Silver, 2.29kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling, fa1319TX","80,990.00",97188,3.8 out of 5 stars,84 ratings,In stock,Quality is 9/10Battery life is 8/10Functionality is 9/10Speed is 9/10Heat level is 8/10Display quality is 10/10Trust me guys it is a killer machine in this price range.It is coming with rtx 4050 with latest i5 13th Gen.I am HP fanboy that's why I can't prefer anyother 😀.I love this machine man...I want to know why it's showing low diskscore and graphic score.My old pavilion has more diskcore than this has 😢.But don't think just do it .I use it for gaming as well as coding.It's heavy and bulky BTW & larger in size.Just think about this thing as it is not so much convenient for taking it and move.Read more,28-01-2025 13:27,17.6
"HAVAI Thunder 85 Desert Cooler - 75 Litres, 16 Inch Blade, Black","10,985.00",13182,2.1 out of 5 stars,23 ratings,In stock,"not at all, hi speedRead more",28-01-2025 13:27,16.6667
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,499.00",7798.8,3.9 out of 5 stars,"1,714 ratings",In stock,"I recently purchased the Samsung Galaxy M05 for just under INR 6500, and I must say, I am very impressed! For the price, this phone is an absolute steal and offers incredible value for money.The large display is a real highlight, providing a great viewing experience for day-to-day tasks. Despite being a budget phone, it has a premium feel in hand, which is a pleasant surprise. The build quality is solid, and it doesn’t feel cheap.Battery life is outstanding! It lasts all day with moderate use, and I don’t have to worry about charging frequently. Whether you're browsing the web, checking social media, or streaming videos, it gets the job done efficiently.While it's not a phone meant for heavy tasks like gaming or intensive apps, it excels at handling basic jobs like calling, texting, browsing, and light media consumption. It's perfect if you're looking for a reliable phone for everyday use without breaking the bank.Overall, I’m really happy with my purchase. If you're looking for a budget phone that does the essentials really well, the Samsung Galaxy M05 is an excellent choice!Read more",28-01-2025 13:27,20
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499.00",16198.8,4.2 out of 5 stars,"5,864 ratings",In stock,"Bought this for office sim as a secondary mobile with op12 as primary.I generally use this mobile for office calls and little youtube and browsing here and there. With moderate usage it lasts two days easily.Forgot that this phone has a camera and if your priority is a secondary phone which lasts longer with decent processor, go ahead and purchase.No hanging, no heating, not heavy and super fast finger print reader. Display quality is okishRead more",28-01-2025 13:27,16.7
"boAt Rockerz 480 w/RGB LEDs, 6 Light Modes, 40mm Drivers, Beast Mode, 60hrs Playback, ENx Tech, BT v5.3, Adaptive Fit & Easy Access Controls, Bluetooth Headphones(Black Sabre)","1,799.00",2158.8,3.9 out of 5 stars,172 ratings,In stock,High quality audio output and very premium design. RGB lights looks very cool. Cushion attached to it are very soft and comfortable for ears. Battery life is good.Good affordable option for moderate gamers and song listening.The headphone is built well. It is sturdy and feel durable and not like cheap plastic. The sound is great as well. Voice should very clear and musical. Bass is good as well. Looks very cool while playing in a dark place where only.The headphone is built well. The sound is great as well. Voice should very clear and musical. Bass is good as well. The RGB lighting is a nice touch. Looks very cool while playing in a dark place where only light is from headphones.Read more,28-01-2025 13:32,16.6
"HP Victus, 13th Gen Intel Core i5-13420H, 6GB NVIDIA RTX 4050, 16GB DDR4, 512GB SSD (Win11, Office 21, Silver, 2.29kg) 144Hz, 9MS, IPS, 15.6-inch(39.6cm) FHD Gaming Laptop, Enhanced Cooling, fa1319TX","80,990.00",97188,3.8 out of 5 stars,84 ratings,In stock,Quality is 9/10Battery life is 8/10Functionality is 9/10Speed is 9/10Heat level is 8/10Display quality is 10/10Trust me guys it is a killer machine in this price range.It is coming with rtx 4050 with latest i5 13th Gen.I am HP fanboy that's why I can't prefer anyother 😀.I love this machine man...I want to know why it's showing low diskscore and graphic score.My old pavilion has more diskcore than this has 😢.But don't think just do it .I use it for gaming as well as coding.It's heavy and bulky BTW & larger in size.Just think about this thing as it is not so much convenient for taking it and move.Read more,28-01-2025 13:32,17.6
"HAVAI Thunder 85 Desert Cooler - 75 Litres, 16 Inch Blade, Black","10,985.00",13182,2.1 out of 5 stars,23 ratings,In stock,"not at all, hi speedRead more",28-01-2025 13:32,16.6667
"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger","6,499.00",7798.8,3.9 out of 5 stars,"1,714 ratings",In stock,"I recently purchased the Samsung Galaxy M05 for just under INR 6500, and I must say, I am very impressed! For the price, this phone is an absolute steal and offers incredible value for money.The large display is a real highlight, providing a great viewing experience for day-to-day tasks. Despite being a budget phone, it has a premium feel in hand, which is a pleasant surprise. The build quality is solid, and it doesn’t feel cheap.Battery life is outstanding! It lasts all day with moderate use, and I don’t have to worry about charging frequently. Whether you're browsing the web, checking social media, or streaming videos, it gets the job done efficiently.While it's not a phone meant for heavy tasks like gaming or intensive apps, it excels at handling basic jobs like calling, texting, browsing, and light media consumption. It's perfect if you're looking for a reliable phone for everyday use without breaking the bank.Overall, I’m really happy with my purchase. If you're looking for a budget phone that does the essentials really well, the Samsung Galaxy M05 is an excellent choice!Read more",28-01-2025 13:32,20
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","13,499.00",16198.8,4.2 out of 5 stars,"5,864 ratings",In stock,"Bought this for office sim as a secondary mobile with op12 as primary.I generally use this mobile for office calls and little youtube and browsing here and there. With moderate usage it lasts two days easily.Forgot that this phone has a camera and if your priority is a secondary phone which lasts longer with decent processor, go ahead and purchase.No hanging, no heating, not heavy and super fast finger print reader. Display quality is okishRead more",28-01-2025 13:32,16.7
